name,category,description,address,city,phone,website,eligibility,notes,hours,county,served_counties,coverage,state
DCBS — Bath County Family Support,financial-assistance,"DCBS — Bath County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Bath County. DCBS Family Support office in Owingsville helps Bath County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",124 Adams Lane,Owingsville,(606) 674-6315,https://kynect.ky.gov/benefits/s/,"Bath County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Bath,Bath,single,Kentucky
DCBS — Montgomery County Family Support,financial-assistance,"DCBS — Montgomery County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Montgomery County. DCBS Family Support office in Mount Sterling administers Medicaid, SNAP, KTAP, and child care subsidies for Montgomery County residents including justice-involved individuals reconnecting to public benefits after release from Montgomery County Detention Center or state custody. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",460 Whittaker Drive,Mount Sterling,(859) 498-8750,https://kynect.ky.gov/benefits/s/,"Montgomery County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Montgomery,Montgomery,single,Kentucky
DCBS — Rowan County Family Support,financial-assistance,"DCBS — Rowan County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Rowan County. DCBS Family Support office in Morehead helps Rowan County and northeast Kentucky residents apply for Medicaid, SNAP, KTAP, and child care through kynect. Returning citizens can establish food and health coverage after release with in-person assistance at this county DCBS location. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",609 Flemingsburg Road,Morehead,(606) 783-8501,https://kynect.ky.gov/benefits/s/,"Rowan County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Rowan,Rowan,single,Kentucky
DCBS — Robertson County Family Support,financial-assistance,"DCBS — Robertson County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Robertson County. DCBS Family Support office in Mount Olivet is the county benefits intake point for Robertson County residents applying for Medicaid, SNAP, KTAP, and child care assistance. Justice-involved residents can apply online at kynect.ky.gov or visit this office for help with verification after release from local jail or state facilities. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",26 Court Street,Mount Olivet,(606) 724-5121,https://kynect.ky.gov/benefits/s/,"Robertson County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Robertson,Robertson,single,Kentucky
DCBS — Adair County Family Support,financial-assistance,"DCBS — Adair County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Adair County. DCBS Family Support office in Columbia helps Adair County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",703 Jamestown St.,Columbia,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Adair County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Adair,Adair,single,Kentucky
DCBS — Allen County Family Support,financial-assistance,"DCBS — Allen County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Allen County. DCBS Family Support office in Scottsville helps Allen County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","29 Hillview Drive, P.O. Box 250",Scottsville,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Allen County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Allen,Allen,single,Kentucky
DCBS — Ballard County Family Support,financial-assistance,"DCBS — Ballard County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Ballard County. DCBS Family Support office in Wickliffe helps Ballard County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","115 North 4th Street, PO Box 68",Wickliffe,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Ballard County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Ballard,Ballard,single,Kentucky
DCBS — Barren County Family Support,financial-assistance,"DCBS — Barren County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Barren County. DCBS Family Support office in Glasgow helps Barren County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",746D East Main Street,Glasgow,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Barren County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Barren,Barren,single,Kentucky
DCBS — Bell County Family Support,financial-assistance,"DCBS — Bell County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Bell County. DCBS Family Support office in Bell helps Bell County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",725 N. 19th Street,Middlesboro,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Bell County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Bell,Bell,single,Kentucky
DCBS — Breathitt County Family Support,financial-assistance,"DCBS — Breathitt County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Breathitt County. DCBS Family Support office in Jackson helps Breathitt County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",355 Broadway,Jackson,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Breathitt County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Breathitt,Breathitt,single,Kentucky
DCBS — Breckinridge County Family Support,financial-assistance,"DCBS Family Support office in Hardinsburg helps Breckinridge County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. The program supports Kentuckians navigating reentry in Breckinridge County.",110 Old US HWY 60,Hardinsburg,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Breckinridge County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Breckinridge,Breckinridge,single,Kentucky
DCBS — Butler County Family Support,financial-assistance,"DCBS — Butler County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Butler County. DCBS Family Support office in Morgantown helps Butler County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",333 Gardner Lane,Morgantown,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Butler County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Butler,Butler,single,Kentucky
DCBS — Caldwell County Family Support,financial-assistance,"DCBS — Caldwell County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Caldwell County. DCBS Family Support office in Princeton helps Caldwell County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","PO Box 646, 300 MicBeth Drive",Princeton,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Caldwell County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Caldwell,Caldwell,single,Kentucky
DCBS — Calloway County Family Support,financial-assistance,"DCBS — Calloway County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Calloway County. DCBS Family Support office in Murray helps Calloway County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",3415 US Hwy 641 N,Murray,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Calloway County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Calloway,Calloway,single,Kentucky
DCBS — Carlisle County Family Support,financial-assistance,"DCBS — Carlisle County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Carlisle County. DCBS Family Support office in Bardwell helps Carlisle County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","178 US Hwy 51 N, Suite A",Bardwell,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Carlisle County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Carlisle,Carlisle,single,Kentucky
DCBS — Carter County Family Support,financial-assistance,"DCBS — Carter County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Carter County. DCBS Family Support office in Grayson helps Carter County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","PO Box 910, 873 East Midland Trail",Grayson,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Carter County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Carter,Carter,single,Kentucky
DCBS — Casey County Family Support,financial-assistance,"DCBS — Casey County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Casey County. DCBS Family Support office in Liberty helps Casey County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",1000 Hustonville Street,Liberty,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Casey County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Casey,Casey,single,Kentucky
DCBS — Clark County Family Support,financial-assistance,"DCBS — Clark County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Clark County. DCBS Family Support office in Winchester helps Clark County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",1113 Pioneer Drive,Winchester,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Clark County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Clark,Clark,single,Kentucky
DCBS — Clay County Family Support,financial-assistance,"DCBS — Clay County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Clay County. DCBS Family Support office in Clay helps Clay County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","P.O. Box 409, 25 Marcum Hill Rd.",Manchester,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Clay County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Clay,Clay,single,Kentucky
DCBS — Clinton County Family Support,financial-assistance,"DCBS — Clinton County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Clinton County. DCBS Family Support office in Albany helps Clinton County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","801 Tennessee Road, Suite D",Albany,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Clinton County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Clinton,Clinton,single,Kentucky
DCBS — Crittenden County Family Support,financial-assistance,"DCBS — Crittenden County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Crittenden County. DCBS Family Support office in Marion helps Crittenden County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","PO Box 435, 815 South Main",Marion,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Crittenden County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Crittenden,Crittenden,single,Kentucky
DCBS — Cumberland County Family Support,financial-assistance,"DCBS Family Support office in Burkesville helps Cumberland County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. The program supports Kentuckians navigating reentry in Cumberland County.","PO Box 397, 232 Keen Street",Burkesville,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Cumberland County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Cumberland,Cumberland,single,Kentucky
DCBS — Edmonson County Family Support,financial-assistance,"DCBS Family Support office in Brownsville helps Edmonson County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. The program supports Kentuckians navigating reentry in Edmonson County.","PO Box 539, 1122 South Main Street",Brownsville,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Edmonson County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Edmonson,Edmonson,single,Kentucky
DCBS — Elliott County Family Support,financial-assistance,"DCBS — Elliott County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Elliott County. DCBS Family Support office in Sandy Hook helps Elliott County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","P O Box 705, 532 South Ky 7",Sandy Hook,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Elliott County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Elliott,Elliott,single,Kentucky
DCBS — Estill County Family Support,financial-assistance,"DCBS — Estill County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Estill County. DCBS Family Support office in Irvine helps Estill County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",102 Mack Street,Irvine,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Estill County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Estill,Estill,single,Kentucky
